""	"ScanData"	"X1"
"972"	70.69	0
"973"	70.75	0
"974"	70.81	0
"975"	70.88	0
"976"	70.94	0
"977"	71	0
"978"	71.06	0
"979"	71.13	0
"980"	71.19	0
"981"	71.25	0
"982"	71.31	0
"983"	71.38	0
"984"	71.44	0
"985"	71.5	0
"986"	71.56	0
"987"	71.63	0
"988"	71.69	0
"989"	71.75	0
"990"	71.81	0
"991"	71.88	0
"992"	71.94	0
"993"	72	0
"994"	72.06	0
"995"	72.13	2.66581
"996"	72.19	5.33163
"997"	72.25	23.9923
"998"	72.31	2.66581
"999"	72.38	7.99744
"1000"	72.44	10.6633
"1001"	72.5	5.33163
"1002"	72.56	0
"1003"	72.63	0
"1004"	72.69	0
"1005"	72.75	0
"1006"	72.81	0
"1007"	72.88	0
"1008"	72.94	0
"1009"	73	0
"1010"	73.06	0
"1011"	73.13	2.66581
"1012"	73.19	5.33163
"1013"	73.25	0
"1014"	73.31	0
"1015"	73.38	0
"1016"	73.44	0
"1017"	73.5	0
"1018"	73.56	0
"1019"	73.63	0
"1020"	73.69	2.66581
"1021"	73.75	0
"1022"	73.81	0
"1023"	73.88	0
"1024"	73.94	0
"1025"	74	0
"1026"	74.06	0
"1027"	74.13	0
"1028"	74.19	2.66581
"1029"	74.25	0
"1030"	74.31	0
"1031"	74.38	0
"1032"	74.44	0
"1033"	74.5	0
"1034"	74.56	0
"1035"	74.63	0
"1036"	74.69	0
"1037"	74.75	0
"1038"	74.81	0
"1039"	74.88	0
"1040"	74.94	0
"1041"	75	0
"1042"	75.06	0
"1043"	75.13	0
"1044"	75.19	0
"1045"	75.25	0
"1046"	75.31	0
"1047"	75.38	0
"1048"	75.44	0
"1049"	75.5	0
"1050"	75.56	0
"1051"	75.63	0
"1052"	75.69	0
"1053"	75.75	0
"1054"	75.81	0
"1055"	75.88	2.66581
"1056"	75.94	0
"1057"	76	0
"1058"	76.06	0
"1059"	76.13	0
"1060"	76.19	0
"1061"	76.25	0
"1062"	76.31	0
"1063"	76.38	0
"1064"	76.44	0
"1065"	76.5	5.33163
"1066"	76.56	2.66581
"1067"	76.63	2.66581
"1068"	76.69	5.33163
"1069"	76.75	0
"1070"	76.81	0
"1071"	76.88	13.3291
"1072"	76.94	13.3291
"1073"	77	0
"1074"	77.06	0
"1075"	77.13	0
"1076"	77.19	0
"1077"	77.25	0
"1078"	77.31	5.33163
"1079"	77.38	0
"1080"	77.44	0
"1081"	77.5	0
"1082"	77.56	0
"1083"	77.63	0
"1084"	77.69	0
"1085"	77.75	0
"1086"	77.81	0
"1087"	77.88	0
"1088"	77.94	0
"1089"	78	0
"1090"	78.06	0
"1091"	78.13	0
"1092"	78.19	0
"1093"	78.25	0
"1094"	78.31	0
"1095"	78.38	0
"1096"	78.44	0
"1097"	78.5	0
"1098"	78.56	0
"1099"	78.63	0
"1100"	78.69	0
"1101"	78.75	0
"1102"	78.81	0
"1103"	78.88	0
"1104"	78.94	0
